"chapter_order","chapter_title","topic_order","topic_title","topic_description","topic_details","explanation","example","example_tips","dialogue","image_alt","image_name","image_url","image_prompt"
"2","Naming Things & Asking 'Is It There?'","2.3","Neuter Demonstratives","Learning neuter demonstrative pronouns","Learning neuter demonstrative pronouns","","{ sanskrit: ""tat (तत्)"", english: ""that (neuter)"" | sanskrit: ""etat (एतत्)"", english: ""this (neuter)"" | sanskrit: ""tat pustakam (तत् पुस्तकम्)"", english: ""that is a book"" | sanskrit: ""etat mitram (एतत् मित्रम्)"", english: ""this is a friend"" }","Neuter demonstratives like 'tat' and 'etat' are used to point to neuter nouns. They agree in gender with the noun they refer to.","
          { sanskrit: ""Person A: tat kim? (तत् किम्?)"", english: ""What is that?"" },
          { sanskrit: ""Person B: tat pustakam. (तत् पुस्तकम्।)"", english: ""That is a book."" },
          { sanskrit: ""Person A: etat kim? (एतत् किम्?)"", english: ""What is this?"" },
          { sanskrit: ""Person B: etat mitram. (एतत् मित्रम्।)"", english: ""This is a friend."" }
        ","Traditional Indian objects with demonstrative pronouns","neuter-demonstratives.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/neuter-demonstratives.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian objects with demonstrative pronouns, bright colors, clear typography, educational design"
"2","Naming Things & Asking 'Is It There?'","2.6","Workplace Vocabulary","Learning workplace and professional vocabulary","Learning workplace and professional vocabulary","","{ sanskrit: ""kāryaḥ (कार्यः)"", english: ""work, duty"" | sanskrit: ""kāryālayaḥ (कार्यालयः)"", english: ""office"" | sanskrit: ""kāryakartā (कार्यकर्ता)"", english: ""worker, employee"" | sanskrit: ""kāryaṇīyaḥ (कार्यणीयः)"", english: ""work to be done"" }","Workplace vocabulary in Sanskrit often uses the root 'kārya' (work) combined with other words to form compound terms.","
          { sanskrit: ""Person A: tava kāryaḥ kim? (तव कार्यः किम्?)"", english: ""What is your work?"" },
          { sanskrit: ""Person B: mama kāryaḥ lekhanaṃ. (मम कार्यः लेखनम्।)"", english: ""My work is writing."" },
          { sanskrit: ""Person A: kāryālayaḥ kutra? (कार्यालयः कुत्र?)"", english: ""Where is the office?"" },
          { sanskrit: ""Person B: kāryālayaḥ atra. (कार्यालयः अत्र।)"", english: ""The office is here."" }
        ","Traditional Indian workplace scene with professional activities","workplace-vocabulary.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/workplace-vocabulary.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian workplace scene with professional activities, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.5","Directions","Learning directional words and concepts","Learning directional words and concepts","","{ sanskrit: ""uttara (उत्तर)"", english: ""north"" | sanskrit: ""dakṣiṇa (दक्षिण)"", english: ""south"" | sanskrit: ""pūrva (पूर्व)"", english: ""east"" | sanskrit: ""paścima (पश्चिम)"", english: ""west"" }","Directional words in Sanskrit are essential for navigation and describing movement. They help you give and follow directions.","
          { sanskrit: ""Person A: kutra gacchasi? (कुत्र गच्छसि?)"", english: ""Where are you going?"" },
          { sanskrit: ""Person B: uttaraṃ gacchāmi. (उत्तरं गच्छामि।)"", english: ""I am going north."" },
          { sanskrit: ""Person A: dakṣiṇaṃ kutra? (दक्षिणं कुत्र?)"", english: ""Where is the south?"" },
          { sanskrit: ""Person B: dakṣiṇaṃ tatra. (दक्षिणं तत्र।)"", english: ""The south is there."" }
        ","Traditional Indian compass with directional concepts","directions.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/directions.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian compass with directional concepts, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.4","Everywhere and Elsewhere","Learning to express 'everywhere' and 'elsewhere'","Learning to express 'everywhere' and 'elsewhere'","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.7","From Where?","Learning to ask and answer 'From where?' questions","Learning to ask and answer 'From where?' questions","","{ sanskrit: ""itaḥ (इतः)"", english: ""from here"" | sanskrit: ""tataḥ (ततः)"", english: ""from there"" | sanskrit: ""yataḥ (यतः)"", english: ""from where"" | sanskrit: ""itaḥ āgacchati (इतः आगच्छति)"", english: ""comes from here"" | sanskrit: ""tataḥ āgacchati (ततः आगच्छति)"", english: ""comes from there"" | sanskrit: ""yataḥ āgacchati (यतः आगच्छति)"", english: ""comes from where"" }","These words express the origin or source of movement. 'Itaḥ' (from here), 'tataḥ' (from there), and 'yataḥ' (from where) are used to indicate starting points.","
          { sanskrit: ""Person A: kutra āgacchasi? (कुत्र आगच्छसि?)"", english: ""Where do you come from?"" },
          { sanskrit: ""Person B: ahaṃ itaḥ āgacchāmi. (अहं इतः आगच्छामि।)"", english: ""I come from here."" },
          { sanskrit: ""Person A: saḥ kutra āgacchati? (सः कुत्र आगच्छति?)"", english: ""Where does he come from?"" },
          { sanskrit: ""Person B: saḥ tataḥ āgacchati. (सः ततः आगच्छति।)"", english: ""He comes from there."" }
        ","A map showing different origin points and destinations","from-where.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/from-where.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, A map showing different origin points and destinations, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.3","Here and There","Learning to express 'here' and 'there' in Sanskrit","Learning to express 'here' and 'there' in Sanskrit","","{ sanskrit: ""atra (अत्र)"", english: ""here"" | sanskrit: ""tatra (तत्र)"", english: ""there"" | sanskrit: ""atra asti (अत्र अस्ति)"", english: ""it is here"" | sanskrit: ""tatra asti (तत्र अस्ति)"", english: ""it is there"" }","'atra' and 'tatra' are fundamental location words in Sanskrit. They help you describe where things are located.","
          { sanskrit: ""Person A: kutra asti? (कुत्र अस्ति?)"", english: ""Where is it?"" },
          { sanskrit: ""Person B: atra asti. (अत्र अस्ति।)"", english: ""It is here."" },
          { sanskrit: ""Person A: tatra asti? (तत्र अस्ति?)"", english: ""Is it there?"" },
          { sanskrit: ""Person B: ām, tatra asti. (आम्, तत्र अस्ति।)"", english: ""Yes, it is there."" }
        ","Traditional Indian scene showing here and there locations","here-there.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/here-there.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Traditional Indian scene showing here and there locations, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.6","Inside and Outside","Learning to express 'inside' and 'outside'","Learning to express 'inside' and 'outside'","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.1","Basic Spatial Concepts","Learning fundamental location and spatial concepts","Learning fundamental location and spatial concepts","","{ sanskrit: ""atra (अत्र)"", english: ""here"" | sanskrit: ""tatra (तत्र)"", english: ""there"" | sanskrit: ""kutra (कुत्र)"", english: ""where"" | sanskrit: ""sarvatra (सर्वत्र)"", english: ""everywhere"" | sanskrit: ""anyatra (अन्यत्र)"", english: ""elsewhere"" }","These basic spatial words are essential for describing locations and asking about places in Sanskrit.","
          { sanskrit: ""Person A: kutra pustakam? (कुत्र पुस्तकम्?)"", english: ""Where is the book?"" },
          { sanskrit: ""Person B: atra pustakam asti. (अत्र पुस्तकम् अस्ति।)"", english: ""The book is here."" },
          { sanskrit: ""Person A: tatra kim asti? (तत्र किम् अस्ति?)"", english: ""What is there?"" },
          { sanskrit: ""Person B: tatra kalam asti. (तत्र कलमम् अस्ति।)"", english: ""There is a pen."" }
        ","A room layout showing different spatial relationships","spatial-concepts.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/spatial-concepts.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, A room layout showing different spatial relationships, bright colors, clear typography, educational design"
"3","Where Is It? Describing Location","3.2","Where?","Learning to ask and answer 'Where?' questions","Learning to ask and answer 'Where?' questions","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.3","I Actions","Learning first person actions and verbs","Learning first person actions and verbs","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.6","Necessity and Obligation","Learning to express necessity and obligation","Learning to express necessity and obligation","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.5","Requests and Commands","Learning imperative forms and commands","Learning imperative forms and commands","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.1","Simple Actions (Present Tense)","Understanding present tense actions in Sanskrit","Understanding present tense actions in Sanskrit","","{ sanskrit: ""gacchati (गच्छति)"", english: ""goes"" | sanskrit: ""āgacchati (आगच्छति)"", english: ""comes"" | sanskrit: ""likhati (लिखति)"", english: ""writes"" | sanskrit: ""paṭhati (पठति)"", english: ""reads"" | sanskrit: ""tiṣṭhati (तिष्ठति)"", english: ""stands"" | sanskrit: ""upaviśati (उपविशति)"", english: ""sits"" }","Present tense verbs in Sanskrit typically end in '-ti' for third person singular (he/she/it). These are the most common verb forms you'll encounter.","
          { sanskrit: ""Person A: saḥ kutra gacchati? (सः कुत्र गच्छति?)"", english: ""Where does he go?"" },
          { sanskrit: ""Person B: saḥ gṛhaṃ gacchati. (सः गृहं गच्छति।)"", english: ""He goes home."" },
          { sanskrit: ""Person A: sā kim karoti? (सा किम् करोति?)"", english: ""What does she do?"" },
          { sanskrit: ""Person B: sā pustakam paṭhati. (सा पुस्तकं पठति।)"", english: ""She reads a book."" }
        ","People performing various actions like walking, reading, writing","simple-actions.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/simple-actions.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, People performing various actions like walking, reading, writing, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.2","Simple Verbs","Learning basic verb forms and conjugations","Learning basic verb forms and conjugations","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
"4","Action! What People Are Doing","4.4","You Actions","Learning second person actions and verbs","Learning second person actions and verbs","","{ sanskrit: ""example (उदाहरण)"", english: ""example"" | sanskrit: ""practice (अभ्यास)"", english: ""practice"" }","This is a placeholder content that needs to be customized for each lesson.","
          { sanskrit: ""Person A: example question"", english: ""Example question"" },
          { sanskrit: ""Person B: example answer"", english: ""Example answer"" }
        ","Placeholder image for practice","placeholder.png","https://dash.cloudflare.com/9e1c4092ca4c803f08a507eab1d1d1e7/r2/default/buckets/sanskrit/objects/placeholder.png/details","Educational illustration for Sanskrit learning, clean modern style, suitable for language learning app, Placeholder image for practice, bright colors, clear typography, educational design"
